respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.024627954,0.09884453
26708,0.022271872,0.028264254
26709,0.026615977,0.59361774
26710,0.88530934,0.8546382
26711,0.17314854,0.4006374
26712,0.9093473,0.9836247
26713,0.12076521,0.88311076
26714,0.14405343,0.15057236
26715,0.0044978857,0.09857714
26716,0.12565842,0.90407705
26717,0.0012445152,0.50222933
26718,0.3632618,0.46913585
26719,0.013773769,0.99365765
26720,0.02438289,0.45307496
26721,0.31808382,0.12582195
26722,0.03377053,0.06810191
26723,0.7344679,0.8932162
26724,0.004504591,0.8013661
26725,0.007677555,0.10130495
26726,0.06475192,0.0064263344
26727,0.093414485,0.88965476
26728,0.3451172,0.6312796
26729,0.44038373,0.87886405
26730,0.12208867,0.23796621
26731,0.003440857,0.2636069
26732,0.050741315,0.09177166
26733,0.9950438,0.9850976
26734,0.9261627,0.13290024
26735,0.021796882,0.22969535
26736,0.053579926,0.20147696
26737,0.017461658,0.035550714
26738,0.23822999,0.9180183
26739,0.022303492,0.28480655
26740,0.00024321675,0.065668195
26741,0.0030041635,0.88848996
26742,0.009271324,0.15476194
26743,0.0010261536,0.5953672
26744,0.00493297,0.8423549
26745,0.016593903,0.8175494
26746,0.05527851,0.276371
26747,0.013625056,0.09514156
26748,0.0074876547,0.022999793
26749,0.029234022,0.8459234
26750,0.22911102,0.9121686
26751,0.21895045,0.8134792
26752,0.042503566,0.17126903
26753,0.17473227,0.53439623
26754,0.024783194,0.8200778
26755,0.026651233,0.6391404
26756,0.0016389489,0.046732217
26757,0.020327449,0.5393781
26758,0.43726328,0.8043196
26759,0.009946346,0.26280993
26760,0.009781808,0.04441434
26761,0.4000877,0.6454092
26762,0.09739792,0.94120336
26763,0.863062,0.9734279
26764,0.98986095,0.9714297
26765,0.0030266345,0.16469824
26766,0.09046468,0.12622169
26767,0.77526623,0.6144686
26768,0.0012920499,0.51965904
26769,0.009023339,0.10142526
26770,0.006758541,0.43881273
26771,0.010160357,0.119814426
26772,0.035895705,0.26534933
26773,0.005058795,0.10793072
26774,0.0039054155,0.10396379
26775,0.00038188696,0.36575365
26776,0.15239745,0.26117373
26777,0.015736759,0.941136
26778,0.0004954338,0.01015538
26779,0.23739585,0.377343
26780,0.004498899,0.8573692
26781,0.008480847,0.55788773
26782,0.031519026,0.2758712
26783,0.0879274,0.14999676
26784,0.38288286,0.8270693
26785,0.35159525,0.33418864
26786,0.015560508,0.15856129
26787,0.09510365,0.5424037
26788,0.01149708,0.8566061
26789,0.015699178,0.13789001
26790,0.019429684,0.063180864
26791,0.009925127,0.061369002
26792,0.0075315833,0.50767237
26793,0.1498797,0.97833335
26794,0.25679666,0.7066163
26795,0.04406178,0.9948951
26796,0.0006135702,0.07615891
26797,0.15106669,0.89090604
26798,0.01801467,0.27567977
26799,0.2609735,0.35452512
26800,0.010188639,0.9824437
26801,0.06540924,0.28179294
26802,0.030953228,0.112473816
26803,0.01039955,0.35899976
26804,0.0075518787,0.08779225
26805,0.0064520836,0.20202789
26806,0.0042411983,0.93171954
26807,0.070141256,0.729765
26808,0.050837666,0.53063625
26809,0.6529603,0.19864798
26810,0.12386489,0.08962464
26811,0.0022158325,0.043605864
26812,0.089640856,0.839077
26813,0.29239982,0.4289616
26814,0.008572012,0.7572557
26815,2.6895388e-05,0.007954717
26816,0.035280704,0.071679145
26817,0.011407852,0.64341646
26818,0.19022688,0.3504786
26819,0.03820443,0.072919875
26820,0.048498303,0.07230711
26821,0.015674025,0.6335751
26822,0.007289678,0.65042675
26823,0.06693232,0.011941016
26824,0.0021975338,0.7577287
26825,0.6070544,0.49346656
26826,0.029096097,0.5499326
26827,0.00019583106,0.065546274
26828,0.069324344,0.32399943
26829,0.8288921,0.92272884
26830,0.006083846,0.7985586
26831,0.041805565,0.81715536
26832,0.009500623,0.84192514
26833,0.0019498467,0.435971
26834,0.10697928,0.43168703
26835,0.14014825,0.8707988
26836,0.22676206,0.19272903
26837,0.10191837,0.019898683
26838,0.03869146,0.49192494
26839,0.032162488,0.66886425
26840,0.02514726,0.10486117
26841,0.5987438,0.7747582
26842,0.04838428,0.060303032
26843,0.076894164,0.030803889
26844,0.07129738,0.16573995
26845,0.024980545,0.6900774
26846,0.04123962,0.9340825
26847,0.6117962,0.11863965
26848,0.0040406585,0.560475
26849,0.411941,0.6602112
26850,0.07155818,0.7551514
26851,0.0009230375,0.032404482
26852,0.00276044,0.014547944
26853,0.109414965,0.25888565
26854,0.012470514,0.14151204
26855,0.1095396,0.88093626
26856,0.0018466413,0.016874671
26857,0.14032912,0.0804562
26858,0.049310207,0.63692886
26859,0.0010346472,0.015167683
26860,0.10850412,0.18801972
26861,0.01154393,0.04156825
26862,0.0030974746,0.075948656
26863,0.004945904,0.4721366
26864,0.2143712,0.24936005
26865,0.002562821,0.027518481
26866,0.010946304,0.4442256
26867,0.090732545,0.25017625
26868,0.8719542,0.98420864
26869,0.0049987435,0.18159878
26870,0.4857604,0.8014109
26871,0.022004873,0.032019913
26872,0.00022405386,0.13097751
26873,0.005357504,0.54775244
26874,0.01261732,0.112742454
26875,0.42055607,0.88409084
26876,0.0806545,0.020372212
26877,0.04022205,0.25831044
26878,0.060326338,0.33649543
26879,0.003962666,0.030822128
26880,0.017311096,0.059500933
26881,0.018399775,0.027413964
26882,0.001075089,0.029601544
26883,0.015924722,0.59630215
26884,0.37271816,0.15507719
26885,0.20746556,0.8040148
26886,0.030374646,0.93421733
26887,0.72058123,0.9295999
26888,0.9335598,0.99427474
26889,0.011486977,0.07110545
26890,0.028189927,0.3366086
26891,0.89949906,0.8286159
26892,0.050011694,0.8746698
26893,0.0114454925,0.09236947
26894,0.058634877,0.18021044
26895,0.017198741,0.8704078
26896,0.00538975,0.017383337
26897,0.006873697,0.5413925
26898,0.015576124,0.4667748
26899,0.0042092204,0.020298928
26900,0.006820947,0.09432235
26901,0.001580745,0.5031342
26902,0.06790596,0.7395421
26903,0.03796625,0.022728533
26904,0.05047381,0.4285165
26905,0.20106909,0.97907007
26906,0.0013546646,0.29263574
26907,0.00037518144,0.4251799
26908,0.022432655,0.9076729
26909,0.04298252,0.056770056
26910,0.11274007,0.10623732
26911,0.07092318,0.06162089
26912,0.4648679,0.9375842
26913,0.17854089,0.6903068
26914,0.001162231,0.05487448
26915,0.0027446747,0.50821173
26916,0.0026468933,0.5720656
26917,0.0016351938,0.034757584
26918,0.9745437,0.9846856
26919,0.011098564,0.45299137
26920,0.007418245,0.071403116
26921,0.014662415,0.91748166
26922,0.009680718,0.72833544
26923,0.31880647,0.46248278
26924,0.90325975,0.9870823
26925,0.044555634,0.8430809
26926,0.25782418,0.9582173
26927,0.33321175,0.47499695
26928,0.055032074,0.44101173
26929,0.02755791,0.106750935
26930,0.7247093,0.8759845
26931,0.043531537,0.49656966
26932,0.0050934255,0.97258306
26933,0.010140091,0.6788052
26934,0.20016512,0.53806615
26935,0.03929636,0.42357394
26936,0.060943007,0.2743463
26937,0.26072118,0.741122
26938,0.0025836527,0.030715555
26939,0.010049999,0.037902653
26940,0.031554908,0.20452341
26941,0.08838934,0.47465804
26942,0.75522494,0.915961
26943,0.008926392,0.6900694
26944,0.010467708,0.16981477
26945,0.023737103,0.63529456
26946,0.01740408,0.7703952
