respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.091679215,0.30707997
26708,0.007540792,0.02928102
26709,0.28491008,0.6799472
26710,0.49755576,0.85797286
26711,0.26814356,0.352557
26712,0.61577475,0.9385148
26713,0.2401771,0.5020225
26714,0.18295527,0.20867273
26715,0.019394934,0.12373358
26716,0.24398962,0.9162569
26717,0.0030481815,0.20465222
26718,0.3228317,0.49365082
26719,0.07500565,0.93642926
26720,0.016692221,0.2305229
26721,0.19713363,0.328293
26722,0.12333131,0.17263955
26723,0.8452781,0.90336514
26724,0.03337112,0.68760574
26725,0.0055961907,0.030850738
26726,0.0034040213,0.008558542
26727,0.5178941,0.9114312
26728,0.16796619,0.5358529
26729,0.2352618,0.86488914
26730,0.014477849,0.13010764
26731,0.045008272,0.26425034
26732,0.113744855,0.16447815
26733,0.9732193,0.9609121
26734,0.9402412,0.35024545
26735,0.100017846,0.41283196
26736,0.06588635,0.15476614
26737,0.06604841,0.09050009
26738,0.7331383,0.85426515
26739,0.19822755,0.27203655
26740,0.1683734,0.103379816
26741,0.072024345,0.91288733
26742,0.1172806,0.46778563
26743,0.057623297,0.50774497
26744,0.020925522,0.6655244
26745,0.047287703,0.93465316
26746,0.20353043,0.3207071
26747,0.026785076,0.14619064
26748,0.020616025,0.015598685
26749,0.08887178,0.71617126
26750,0.46316698,0.87761736
26751,0.37671036,0.69500715
26752,0.024810433,0.036744952
26753,0.37681833,0.71462953
26754,0.16748604,0.65148216
26755,0.12748629,0.4443709
26756,0.01855591,0.026444703
26757,0.12500355,0.41124028
26758,0.51199013,0.8565291
26759,0.013886541,0.15234801
26760,0.00474599,0.016469896
26761,0.27028215,0.71770406
26762,0.2121782,0.8068508
26763,0.9493226,0.9767406
26764,0.96943945,0.9648073
26765,0.023678124,0.71336347
26766,0.13024706,0.15912673
26767,0.91459274,0.75444436
26768,0.0061829686,0.31022042
26769,0.043215513,0.14947179
26770,0.034839123,0.45479083
26771,0.0050412416,0.08741191
26772,0.0556404,0.43848774
26773,0.017981261,0.3693679
26774,0.006230086,0.37167484
26775,0.018620998,0.43620136
26776,0.34158638,0.23156244
26777,0.0990434,0.95449793
26778,0.0457204,0.07059148
26779,0.18327683,0.6078381
26780,0.032629788,0.95084244
26781,0.0686461,0.39021346
26782,0.041760504,0.31029814
26783,0.022294432,0.21365952
26784,0.14524192,0.8474262
26785,0.48834518,0.53262913
26786,0.029617637,0.19244552
26787,0.028653592,0.4116038
26788,0.028272152,0.8719703
26789,0.015054017,0.25652415
26790,0.012544274,0.18288568
26791,0.019644737,0.09968698
26792,0.07924572,0.7512172
26793,0.15537125,0.9299159
26794,0.74378586,0.8842174
26795,0.07671252,0.96133274
26796,0.03440994,0.03791222
26797,0.19847405,0.7402893
26798,0.27986708,0.16473907
26799,0.30183467,0.19366917
26800,0.05292803,0.9576624
26801,0.14358175,0.1948587
26802,0.11043671,0.18879738
26803,0.02130872,0.12765658
26804,0.01151517,0.08952743
26805,0.01809454,0.15895388
26806,0.022755295,0.9209387
26807,0.4048968,0.93248665
26808,0.114762396,0.41104892
26809,0.6481487,0.14672503
26810,0.013115495,0.090225935
